# Palier 2 — La vie de tous les jours (rangs 51-100)
pen | stylo | n | /pen/ | I lost my pen. | J'ai perdu mon stylo. | A [thin=fin] [object=objet] with [ink=encre] that you [use=utilises] to [write=écrire]
road | route | n | /rəʊd/ | The road is long. | La route est longue. | A [long=longue] [flat=plate] [way=voie] where [cars=les voitures] can [drive=rouler]
student | étudiant | n | /ˈstjuː.dənt/ | She is a good student. | C'est une bonne étudiante. | A [person=personne] who [studies=étudie] at a [school=école] or a [university=université]
stop | arrêter | v | /stɒp/ | Stop the car here. | Arrête la voiture ici. | To [end=terminer] a [movement=mouvement] so that [nothing=rien] [moves=bouge] any more
two | deux | det | /tuː/ | I have two sisters. | J'ai deux sœurs. | The [number=nombre] that [comes=vient] after [one=un]
want | vouloir | v | /wɒnt/ | I want a coffee. | Je veux un café. | To [feel=ressentir] that you would [like=aimer] to [have=avoir] something
answer | réponse | n | /ˈɑːn.sər/ | Give me your answer. | Donne-moi ta réponse. | What you [say=dis] when [someone=quelqu'un] [asks=pose] you a [question=question]
clear | clair | adj | /klɪər/ | The water is clear. | L'eau est claire. | [Easy=Facile] to [see=voir] or to [understand=comprendre], without any [doubt=doute]
country | pays | n | /ˈkʌn.tri/ | France is a beautiful country. | La France est un beau pays. | A [large=grande] [area=zone] of [land=terre] with its own [government=gouvernement]
dance | danser | v | /dɑːns/ | They dance every Friday. | Ils dansent tous les vendredis. | To [move=bouger] your [body=corps] in [time=rythme] with the [music=musique]
friend | ami | n | /frend/ | He is my best friend. | C'est mon meilleur ami. | A [person=personne] you [like=aimes] and [see=vois] [often=souvent], but not [family=de la famille]
job | emploi | n | /dʒɒb/ | She found a new job. | Elle a trouvé un nouvel emploi. | The [work=travail] you do to [earn=gagner] your [money=argent]
life | vie | n | /laɪf/ | Life is short. | La vie est courte. | The [time=temps] between your [birth=naissance] and your [death=mort]
park | parc | n | /pɑːk/ | We walk in the park. | Nous marchons dans le parc. | A [green=vert] [place=endroit] in a [town=ville] with [trees=des arbres] and [grass=de l'herbe]
person | personne | n | /ˈpɜː.sən/ | Only one person came. | Une seule personne est venue. | A [single=seul] [human=humain] being, a [man=homme], a [woman=femme] or a [child=enfant]
ready | prêt | adj | /ˈred.i/ | Are you ready to go? | Es-tu prêt à partir ? | [Prepared=Préparé], so that you can [start=commencer] [now=maintenant]
second | seconde | n | /ˈsek.ənd/ | Wait a second. | Attends une seconde. | A [very=très] [short=court] [time=temps]: [sixty=soixante] of them [make=font] a minute
soon | bientôt | adv | /suːn/ | He will arrive soon. | Il arrivera bientôt. | In a [short=court] [time=temps] from [now=maintenant]
able | capable | adj | /ˈeɪ.bəl/ | I am able to help. | Je suis capable d'aider. | Having what you [need=as besoin] to [do=faire] something
close | fermer | v | /kləʊz/ | Close your book. | Ferme ton livre. | To [move=bouger] a [door=porte] so that [nothing=rien] can [pass=passer]
clean | propre | adj | /kliːn/ | The room is clean. | La pièce est propre. | Without any [dirt=saleté], [dust=poussière] or [mark=marque]
dream | rêve | n | /driːm/ | I had a strange dream. | J'ai fait un rêve étrange. | The [pictures=images] you [see=vois] in your [head=tête] while you [sleep=dors]
eight | huit | det | /eɪt/ | I have eight books. | J'ai huit livres. | The [number=nombre] that [comes=vient] after [seven=sept]
hand | main | n | /hænd/ | Give me your hand. | Donne-moi ta main. | The [part=partie] at the [end=bout] of your [arm=bras], with [five=cinq] [fingers=doigts]
inside | dedans | adv | /ɪnˈsaɪd/ | Come inside, it is cold. | Entre, il fait froid. | In the [part=partie] that is [within=à l'intérieur] the [walls=murs], not [outside=dehors]
now | maintenant | adv | /naʊ/ | I am busy now. | Je suis occupé maintenant. | At this [exact=exact] [moment=moment], not [before=avant] and not [later=plus tard]
picture | image | n | /ˈpɪk.tʃər/ | Look at this picture. | Regarde cette image. | Something [drawn=dessiné] or [taken=pris] that you [look=regardes] at on [paper=du papier]
river | rivière | n | /ˈrɪv.ər/ | The river is wide. | La rivière est large. | [Water=De l'eau] that [runs=coule] a [long=longue] [way=distance] towards the [sea=mer]
shop | magasin | n | /ʃɒp/ | The shop is closed. | Le magasin est fermé. | The [place=endroit] where you [buy=achètes] [things=des choses] with your [money=argent]
ship | navire | n | /ʃɪp/ | The ship left the port. | Le navire a quitté le port. | A [big=grand] [boat=bateau] that [carries=transporte] [people=des gens] across the [sea=mer]
sit | s'asseoir | v | /sɪt/ | Sit here, please. | Assieds-toi ici, s'il te plaît. | To [rest=reposer] your [body=corps] on a [chair=chaise], not [standing=debout]
table | table | n | /ˈteɪ.bəl/ | Put it on the table. | Pose-le sur la table. | A [flat=plat] [piece=meuble] with legs where you [eat=manges] or [work=travailles]
write | écrire | v | /raɪt/ | I write every morning. | J'écris tous les matins. | To [put=mettre] [words=des mots] on [paper=du papier] with a [pen=stylo]
air | air | n | /eər/ | The air is fresh. | L'air est frais. | What you [breathe=respires] and what [fills=remplit] an [empty=vide] [room=pièce]
black | noir | adj | /blæk/ | She wore a black dress. | Elle portait une robe noire. | The [darkest=plus sombre] [colour=couleur], the one of the [night=nuit]
cheese | fromage | n | /tʃiːz/ | This cheese is strong. | Ce fromage est fort. | A [food=aliment] [made=fait] from [milk=lait] that you [eat=manges] with [bread=du pain]
cinema | cinéma | n | /ˈsɪn.ə.mə/ | We went to the cinema. | Nous sommes allés au cinéma. | The [place=endroit] where [people=les gens] [watch=regardent] a [film=film] on a [big=grand] screen
daughter | fille | n | /ˈdɔː.tər/ | Their daughter is five. | Leur fille a cinq ans. | The [female=femelle] [child=enfant] of a [mother=mère] and a [father=père]
eat | manger | v | /iːt/ | I eat at noon. | Je mange à midi. | To [put=mettre] [food=de la nourriture] in your [mouth=bouche] when you are [hungry=affamé]
good | bon | adj | /ɡʊd/ | This is a good idea. | C'est une bonne idée. | Of a [quality=qualité] that [pleases=plaît] you, the [opposite=contraire] of [bad=mauvais]
head | tête | n | /hed/ | My head hurts. | J'ai mal à la tête. | The [top=haut] [part=partie] of your [body=corps], with your [face=visage] and your [brain=cerveau]
important | important | adj | /ɪmˈpɔː.tənt/ | This is an important day. | C'est un jour important. | Having a [big=grand] [effect=effet], so you must [pay=faire] [attention=attention]
land | terre | n | /lænd/ | They bought some land. | Ils ont acheté un terrain. | The [dry=sèche] [part=partie] of the [earth=terre], not the [sea=mer]
money | argent | n | /ˈmʌn.i/ | I need more money. | J'ai besoin de plus d'argent. | What you [give=donnes] in a [shop=magasin] when you [buy=achètes] something
problem | problème | n | /ˈprɒb.ləm/ | We have a problem. | Nous avons un problème. | A [difficult=difficile] [situation=situation] that you must [solve=résoudre]
pay | payer | v | /peɪ/ | I will pay tomorrow. | Je paierai demain. | To [give=donner] [money=de l'argent] for something you [buy=achètes]
run | courir | v | /rʌn/ | I run every day. | Je cours tous les jours. | To [move=bouger] on your [feet=pieds] [faster=plus vite] than when you [walk=marches]
see | voir | v | /siː/ | I can see the sea. | Je vois la mer. | To [use=utiliser] your [eyes=yeux] to [notice=remarquer] something
send | envoyer | v | /send/ | Send me a letter. | Envoie-moi une lettre. | To [make=faire] something [go=aller] to [someone=quelqu'un] in another [place=endroit]
thing | chose | n | /θɪŋ/ | I forgot one thing. | J'ai oublié une chose. | Any [object=objet] or [idea=idée] when you do not [name=nommes] it [exactly=exactement]
