# groupe | en | fr | preterit | participe
# G1 — invariables (A-A-A)
1 | cut | couper | cut | cut
1 | put | mettre | put | put
1 | let | laisser | let | let
1 | set | poser | set | set
1 | hit | frapper | hit | hit
1 | hurt | blesser | hurt | hurt
1 | cost | coûter | cost | cost
1 | shut | fermer | shut | shut
1 | read | lire | read | read
1 | quit | quitter | quit | quit
# G2 — en -ought / -aught
2 | think | penser | thought | thought
2 | bring | apporter | brought | brought
2 | buy | acheter | bought | bought
2 | catch | attraper | caught | caught
2 | teach | enseigner | taught | taught
2 | fight | combattre | fought | fought
2 | seek | chercher | sought | sought
# G3 — deux formes identiques (A-B-B)
3 | have | avoir | had | had
3 | say | dire | said | said
3 | make | faire | made | made
3 | get | obtenir | got | got
3 | find | trouver | found | found
3 | tell | dire | told | told
3 | sell | vendre | sold | sold
3 | hold | tenir | held | held
3 | keep | garder | kept | kept
3 | leave | partir | left | left
3 | feel | ressentir | felt | felt
3 | lose | perdre | lost | lost
3 | mean | signifier | meant | meant
3 | meet | rencontrer | met | met
3 | pay | payer | paid | paid
3 | sit | s'asseoir | sat | sat
3 | stand | se tenir debout | stood | stood
3 | understand | comprendre | understood | understood
3 | send | envoyer | sent | sent
3 | spend | dépenser | spent | spent
3 | build | construire | built | built
3 | sleep | dormir | slept | slept
3 | hear | entendre | heard | heard
3 | win | gagner | won | won
3 | lead | mener | led | led
3 | sting | piquer | stung | stung
# G4 — trois formes différentes (A-B-C)
4 | be | être | was | been
4 | do | faire | did | done
4 | go | aller | went | gone
4 | see | voir | saw | seen
4 | take | prendre | took | taken
4 | give | donner | gave | given
4 | know | savoir | knew | known
4 | come | venir | came | come
4 | write | écrire | wrote | written
4 | speak | parler | spoke | spoken
4 | break | casser | broke | broken
4 | choose | choisir | chose | chosen
4 | drive | conduire | drove | driven
4 | eat | manger | ate | eaten
4 | fall | tomber | fell | fallen
4 | forget | oublier | forgot | forgotten
4 | grow | pousser | grew | grown
4 | begin | commencer | began | begun
4 | drink | boire | drank | drunk
4 | run | courir | ran | run
4 | show | montrer | showed | shown
4 | wear | porter | wore | worn
4 | swim | nager | swam | swum
4 | throw | jeter | threw | thrown
4 | ring | sonner | rang | rung
