# Palier 16 — Efforts et caractère (rangs 751-800)
young | jeune | adj | /jʌŋ/ | She is too young to drive. | Elle est trop jeune pour conduire. | Having [lived=vécu] only a [small=petit] [number=nombre] of [years=années]
wish | souhait | n | /wɪʃ/ | She made a wish. | Elle a fait un souhait. | What you [want=veux] to [happen=arriver], even if it may be [impossible=impossible]
allow | permettre | v | /əˈlaʊ/ | They allow dogs in the park. | Ils autorisent les chiens dans le parc. | To [let=laisser] [someone=quelqu'un] [do=faire] a [thing=chose] without [stopping=l'arrêter] them
admire | admirer | v | /ədˈmaɪər/ | I admire her courage. | J'admire son courage. | To [look=regarder] at a [person=personne] with a [great=grand] [respect=respect]
battle | bataille | n | /ˈbæt.əl/ | The battle lasted two days. | La bataille a duré deux jours. | A [fight=combat] between [two=deux] [armies=armées] during a [war=guerre]
climb | grimper | v | /klaɪm/ | We climbed the mountain. | Nous avons grimpé la montagne. | To [move=bouger] [up=vers le haut] a [high=haute] [thing=chose] with [effort=effort]
complete | complet | adj | /kəmˈpliːt/ | The list is complete. | La liste est complète. | With [every=chaque] [part=partie] there, and [nothing=rien] [missing=manquant]
divide | diviser | v | /dɪˈvaɪd/ | Divide the cake in four. | Divise le gâteau en quatre. | To [cut=couper] a [whole=ensemble] into [several=plusieurs] [parts=parties]
effort | effort | n | /ˈef.ət/ | It took a great effort. | Cela a demandé un grand effort. | The [strength=force] you [use=utilises] to [do=faire] something [difficult=difficile]
fresh | frais | adj | /freʃ/ | The bread is fresh. | Le pain est frais. | [Made=Fait] or [picked=cueilli] a [very=très] [short=court] [time=temps] [ago=auparavant]
hole | trou | n | /həʊl/ | There is a hole in my coat. | Il y a un trou dans mon manteau. | An [empty=vide] [space=espace] in a [surface=surface] where the [material=matière] is [missing=absente]
indeed | en effet | adv | /ɪnˈdiːd/ | It is indeed a fine day. | C'est en effet une belle journée. | The [word=mot] you [add=ajoutes] to [confirm=confirmer] that something is [true=vrai]
marriage | mariage | n | /ˈmær.ɪdʒ/ | Their marriage is happy. | Leur mariage est heureux. | The [state=état] of being a [husband=mari] and a [wife=épouse] [together=ensemble]
outside | dehors | adv | /ˌaʊtˈsaɪd/ | The children play outside. | Les enfants jouent dehors. | Not [inside=à l'intérieur] a [building=bâtiment], in the [open=plein] [air=air]
pleasant | agréable | adj | /ˈplez.ənt/ | We had a pleasant walk. | Nous avons fait une promenade agréable. | [Giving=Donnant] a [good=bon] [feeling=sentiment], [nice=agréable] to [do=faire]
point | point | n | /pɔɪnt/ | This is an important point. | C'est un point important. | One [particular=particulière] [idea=idée] in what [someone=quelqu'un] [says=dit]
secretary | secrétaire | n | /ˈsek.rə.tər.i/ | The secretary answered the phone. | La secrétaire a répondu au téléphone. | The [person=personne] in an [office=bureau] who [writes=écrit] the [letters=lettres]
sing | chanter | v | /sɪŋ/ | She sings very well. | Elle chante très bien. | To [make=faire] [music=de la musique] with your [voice=voix] and [words=des mots]
third | troisième | adj | /θɜːd/ | This is my third try. | C'est mon troisième essai. | [Coming=Venant] after the [second=deuxième] one in an [order=ordre]
soft | doux | adj | /sɒft/ | The bed is very soft. | Le lit est très doux. | [Pleasant=Agréable] to [touch=toucher] and [easy=facile] to [press=presser], not [hard=dur]
various | divers | adj | /ˈveə.ri.əs/ | We visited various towns. | Nous avons visité diverses villes. | Of [several=plusieurs] [different=différentes] [kinds=sortes]
adventure | aventure | n | /ədˈven.tʃər/ | The journey was an adventure. | Le voyage était une aventure. | An [exciting=excitante] [experience=expérience] that may be [dangerous=dangereuse]
although | bien que | conj | /ɔːlˈðəʊ/ | Although it rained, we walked. | Bien qu'il ait plu, nous avons marché. | The [word=mot] that [introduces=introduit] a [fact=fait] [against=contraire] to the [rest=reste]
bottom | fond | n | /ˈbɒt.əm/ | The key was at the bottom. | La clé était au fond. | The [lowest=plus bas] [part=partie] of a [thing=chose], [opposite=opposé] to the [top=sommet]
comfort | réconfort | n | /ˈkʌm.fət/ | Her words gave me comfort. | Ses mots m'ont réconforté. | The [feeling=sentiment] of being [better=mieux] after a [sad=triste] [moment=moment]
