# Palier de blocs 1 — les 50 plus courants de l'anglais parlé
# en | fr | litteral (null si transparent) | indice | exemple_en | exemple_fr
I don't know | Je ne sais pas | null | You say this when you have no [answer=réponse] to give | I don't know where he is. | Je ne sais pas où il est.
of course | bien sûr | null | You say this when something is completely [clear=évident] to everyone | Of course you can come. | Bien sûr que tu peux venir.
a lot of | beaucoup de | un lot de | You put this before a [thing=chose] when there is a [big=grande] [quantity=quantité] | There is a lot of work. | Il y a beaucoup de travail.
I think so | Je crois que oui | null | You answer this when you [believe=crois] something is [true=vrai] but are not [certain=certain] | Is he coming? I think so. | Il vient ? Je crois que oui.
I don't think so | Je ne crois pas | null | You answer this when you [believe=crois] something is [false=faux], politely | Will it rain? I don't think so. | Il va pleuvoir ? Je ne crois pas.
I'm not sure | Je ne suis pas sûr | null | You say this when you have a [doubt=doute] and do not want to [answer=répondre] [wrong=faux] | I'm not sure about the date. | Je ne suis pas sûr de la date. 
What do you mean? | Qu'est-ce que tu veux dire ? | Quoi fais-tu signifier | You ask this when you did not [understand=compris] what [someone=quelqu'un] just [said=a dit] | What do you mean by that? | Qu'est-ce que tu veux dire par là ?
It doesn't matter | Ça n'a pas d'importance | Ça ne matière pas | You say this to [stop=arrêter] [someone=quelqu'un] from [worrying=s'inquiéter] about a [small=petit] [problem=problème] | It doesn't matter, we have time. | Ça n'a pas d'importance, on a le temps.
by the way | au fait | par le chemin | You put this before a [new=nouveau] [subject=sujet] that just [came=est venu] to your [mind=esprit] | By the way, your brother called. | Au fait, ton frère a appelé.
at the moment | en ce moment | null | You add this to say a [thing=chose] is [true=vrai] [now=maintenant] but may [change=changer] | She is busy at the moment. | Elle est occupée en ce moment.
I'd like to | Je voudrais | J'aimerais à | You use this to [ask=demander] for something in a [polite=polie] [way=manière] | I'd like to see the room. | Je voudrais voir la chambre.
as soon as possible | dès que possible | aussi tôt que possible | You add this when a [thing=chose] must be [done=fait] with no [delay=retard] | Send it as soon as possible. | Envoie-le dès que possible.
How are you? | Comment vas-tu ? | Comment es-tu | You ask this at the [start=début] of a [talk=conversation], to be [polite=poli] | Hello, how are you? | Bonjour, comment vas-tu ?
Thank you very much | Merci beaucoup | null | You say this when [someone=quelqu'un] has [helped=aidé] you a [lot=beaucoup] | Thank you very much for your help. | Merci beaucoup pour ton aide.
You're welcome | De rien | Tu es bienvenu | You [answer=réponds] this when [someone=quelqu'un] [thanks=remercie] you | Thank you! You're welcome. | Merci ! De rien.
Excuse me | Excusez-moi | null | You say this to [stop=arrêter] a [person=personne] you do not [know=connais] and [ask=demander] a [question=question] | Excuse me, where is the station? | Excusez-moi, où est la gare ?
I'm sorry | Je suis désolé | null | You say this when you have [done=fait] something [wrong=mal] | I'm sorry, it was my mistake. | Je suis désolé, c'était mon erreur.
Never mind | Ce n'est pas grave | Jamais esprit | You say this to [close=clore] a [small=petit] [problem=problème] without [talking=parler] [more=plus] | Never mind, I will do it. | Ce n'est pas grave, je le ferai.
That's right | C'est exact | null | You say this to [confirm=confirmer] that [someone=quelqu'un] is [correct=correct] | Is it on Monday? That's right. | C'est lundi ? C'est exact.
That's why | C'est pour ça que | null | You put this before the [reason=raison] of a [thing=chose] you just [said=as dite] | It rained. That's why we stayed. | Il a plu. C'est pour ça qu'on est restés.
in fact | en fait | null | You add this to [give=donner] the [true=vraie] [situation=situation], often against what was [expected=attendu] | It looks hard. In fact it is easy. | Ça a l'air dur. En fait c'est facile.
for example | par exemple | null | You put this before one [case=cas] that [shows=montre] a [general=générale] [idea=idée] | Take a fruit, for example an apple. | Prends un fruit, par exemple une pomme.
It depends on | Ça dépend de | null | You say this when the [answer=réponse] is not [always=toujours] the [same=même] | It depends on the weather. | Ça dépend du temps.
I agree with you | Je suis d'accord avec toi | null | You say this when you [think=penses] the [same=même] [thing=chose] as [someone=quelqu'un] | I agree with you on that. | Je suis d'accord avec toi là-dessus.
I have no idea | Je n'en ai aucune idée | null | You say this when you [know=sais] [nothing=rien] at [all=tout] about a [question=question] | Where is he? I have no idea. | Où est-il ? Je n'en ai aucune idée.
