# Palier 5 — Le monde autour de toi (rangs 201-250)
bus | bus | n | /bʌs/ | I take the bus to work. | Je prends le bus pour aller au travail. | A [long=long] [road=routier] vehicle that [carries=transporte] many [people=personnes] in a [town=ville]
church | église | n | /tʃɜːtʃ/ | The church is very old. | L'église est très vieille. | The [building=bâtiment] where [people=les gens] [pray=prient] [together=ensemble]
company | entreprise | n | /ˈkʌm.pə.ni/ | She works for a big company. | Elle travaille pour une grande entreprise. | A [group=groupe] of [people=personnes] who [work=travaillent] [together=ensemble] to [sell=vendre] something
desert | désert | n | /ˈdez.ət/ | The desert is very dry. | Le désert est très sec. | A [very=très] [dry=sec] [land=terre] of [sand=sable] where [little=peu] can [grow=pousser]
expensive | cher | adj | /ɪkˈspen.sɪv/ | That car is expensive. | Cette voiture est chère. | Costing a [lot=beaucoup] of [money=argent], with a [high=élevé] [price=prix]
flower | fleur | n | /ˈflaʊ.ər/ | She gave me a flower. | Elle m'a donné une fleur. | The [coloured=colorée] [part=partie] of a [plant=plante] that [smells=sent] [good=bon]
green | vert | adj | /ɡriːn/ | The grass is green. | L'herbe est verte. | The [colour=couleur] of [grass=l'herbe] and of the [leaves=feuilles] of a [tree=arbre]
impossible | impossible | adj | /ɪmˈpɒs.ə.bəl/ | That is impossible. | C'est impossible. | Something that can [never=jamais] [happen=arriver], whatever you [try=essaies]
leave | partir | v | /liːv/ | I leave at eight. | Je pars à huit heures. | To [go=aller] away from a [place=endroit] where you [were=étais]
month | mois | n | /mʌnθ/ | I will come back next month. | Je reviendrai le mois prochain. | One of the [twelve=douze] [parts=parties] of a [year=année]
plan | plan | n | /plæn/ | We have a good plan. | Nous avons un bon plan. | The [set=ensemble] of [steps=étapes] you [decide=décides] [before=avant] you [act=agis]
possible | possible | adj | /ˈpɒs.ə.bəl/ | It is possible to win. | Il est possible de gagner. | Able to [happen=arriver], even if it is not [certain=certain]
return | revenir | v | /rɪˈtɜːn/ | She returns tomorrow. | Elle revient demain. | To [come=venir] [back=de retour] to the [place=endroit] you [left=as quitté]
something | quelque chose | pron | /ˈsʌm.θɪŋ/ | I want to tell you something. | Je veux te dire quelque chose. | A [thing=chose] that you do not [name=nommes] [exactly=exactement]
sea | mer | n | /siː/ | The sea is calm today. | La mer est calme aujourd'hui. | The [large=grande] [area=étendue] of [salt=salée] [water=eau] around the [land=terre]
save | sauver | v | /seɪv/ | He saved my life. | Il m'a sauvé la vie. | To [take=sortir] [someone=quelqu'un] out of [danger=danger]
together | ensemble | adv | /təˈɡeð.ər/ | We work together. | Nous travaillons ensemble. | With [each=chaque] [other=autre], in the [same=même] [place=endroit] at the [same=même] [time=moment]
woman | femme | n | /ˈwʊm.ən/ | The woman is a teacher. | La femme est professeur. | An [adult=adulte] [female=femelle] [person=personne], not a [man=homme]
anything | quoi que ce soit | pron | /ˈen.i.θɪŋ/ | Do you need anything? | As-tu besoin de quelque chose ? | Any [thing=chose] at [all=tout], whichever one it [is=est]
army | armée | n | /ˈɑː.mi/ | He joined the army. | Il a rejoint l'armée. | The [large=grand] [group=groupe] of [soldiers=soldats] that [fights=combat] for a [country=pays]
bad | mauvais | adj | /bæd/ | The weather is bad. | Le temps est mauvais. | Of a [poor=piètre] [quality=qualité], the [opposite=contraire] of [good=bon]
cover | couvrir | v | /ˈkʌv.ər/ | Cover the food, please. | Couvre la nourriture, s'il te plaît. | To [put=mettre] something [over=par-dessus] a [thing=chose] so it cannot be [seen=vu]
culture | culture | n | /ˈkʌl.tʃər/ | I love Italian culture. | J'aime la culture italienne. | The [art=art], the [ideas=idées] and the [habits=habitudes] of a [people=peuple]
decision | décision | n | /dɪˈsɪʒ.ən/ | It was a hard decision. | C'était une décision difficile. | The [choice=choix] you [make=fais] after you [think=réfléchis] about it
example | exemple | n | /ɪɡˈzɑːm.pəl/ | Give me an example. | Donne-moi un exemple. | One [case=cas] that [shows=montre] how a [general=générale] [rule=règle] [works=fonctionne]
feel | ressentir | v | /fiːl/ | I feel tired. | Je me sens fatigué. | To [know=connaître] something inside your [body=corps] or your [heart=cœur]
island | île | n | /ˈaɪ.lənd/ | They live on a small island. | Ils vivent sur une petite île. | A [piece=morceau] of [land=terre] with [water=de l'eau] on [every=chaque] [side=côté]
member | membre | n | /ˈmem.bər/ | She is a member of the club. | Elle est membre du club. | A [person=personne] who [belongs=appartient] to a [group=groupe]
next | prochain | adj | /nekst/ | See you next week. | À la semaine prochaine. | [Coming=Venant] [right=juste] after the [present=présent] one
position | position | n | /pəˈzɪʃ.ən/ | Change your position. | Change de position. | The [exact=exact] [place=endroit] where a [person=personne] or [thing=chose] [is=est]
present | cadeau | n | /ˈprez.ənt/ | I bought her a present. | Je lui ai acheté un cadeau. | Something you [give=donnes] to [someone=quelqu'un] on a [special=spécial] [day=jour]
record | enregistrer | v | /rɪˈkɔːd/ | Record the meeting, please. | Enregistre la réunion, s'il te plaît. | To [keep=garder] a [sound=son] or an [image=image] so you can [hear=entendre] it [later=plus tard]
sweet | sucré | adj | /swiːt/ | This cake is very sweet. | Ce gâteau est très sucré. | Having the [taste=goût] of [sugar=sucre], not [salt=sel]
sleep | dormir | v | /sliːp/ | I sleep eight hours. | Je dors huit heures. | To [close=fermer] your [eyes=yeux] at [night=nuit] and [rest=reposer] your [body=corps]
try | essayer | v | /traɪ/ | Try again tomorrow. | Essaie encore demain. | To [make=faire] an [effort=effort] to [do=faire] something [difficult=difficile]
world | monde | n | /wɜːld/ | He travelled the world. | Il a parcouru le monde. | The [earth=terre] and [all=tous] the [people=gens] who [live=vivent] on it
bed | lit | n | /bed/ | The bed is very soft. | Le lit est très doux. | The [piece=meuble] of [furniture=mobilier] where you [sleep=dors] at [night=nuit]
buy | acheter | v | /baɪ/ | I want to buy a book. | Je veux acheter un livre. | To [give=donner] [money=de l'argent] and [take=prendre] the [thing=chose] in [return=retour]
catch | attraper | v | /kætʃ/ | Catch the ball. | Attrape le ballon. | To [take=prendre] in your [hand=main] something that [moves=bouge] towards you
corner | coin | n | /ˈkɔː.nər/ | The shop is on the corner. | Le magasin est au coin. | The [point=point] where [two=deux] [sides=côtés] or [streets=rues] [meet=se rejoignent]
distance | distance | n | /ˈdɪs.təns/ | The distance is short. | La distance est courte. | The [space=espace] between [two=deux] [places=endroits]
education | éducation | n | /ˌedʒ.ʊˈkeɪ.ʃən/ | Education is important. | L'éducation est importante. | [All=Tout] that you [learn=apprends] at [school=l'école] over many [years=années]
fast | rapide | adj | /fɑːst/ | This train is fast. | Ce train est rapide. | [Moving=Bougeant] at a [high=grande] [speed=vitesse], not [slow=lent]
letter | lettre | n | /ˈlet.ər/ | I wrote a letter. | J'ai écrit une lettre. | A [message=message] on [paper=papier] that you [send=envoies] to [someone=quelqu'un]
president | président | n | /ˈprez.ɪ.dənt/ | The president gave a speech. | Le président a fait un discours. | The [person=personne] at the [head=tête] of a [country=pays] or a [company=entreprise]
part | partie | n | /pɑːt/ | I read only one part. | Je n'ai lu qu'une partie. | A [piece=morceau] of something [larger=plus grand], not the [whole=totalité]
round | rond | adj | /raʊnd/ | The table is round. | La table est ronde. | Having the [shape=forme] of a [circle=cercle], with no [corner=coin]
several | plusieurs | det | /ˈsev.ər.əl/ | I waited several hours. | J'ai attendu plusieurs heures. | [More=Plus] than [two=deux], but not [many=beaucoup]
sound | son | n | /saʊnd/ | I heard a strange sound. | J'ai entendu un son étrange. | What your [ear=oreille] [notices=remarque] when something [moves=bouge] the [air=air]
story | histoire | n | /ˈstɔː.ri/ | Tell me a story. | Raconte-moi une histoire. | What [someone=quelqu'un] [tells=raconte] about [events=événements], [true=vrais] or not
