# Palier 1 — Les tout premiers mots (rangs 1-50)
# en | fr | type | phonetique | exemple_en | exemple_fr | indice
boy | garçon | n | /bɔɪ/ | The boy is running. | Le garçon court. | A young [male=mâle] [child=enfant] who will [become=devenir] a [man=homme]
car | voiture | n | /kɑːr/ | My car is old. | Ma voiture est vieille. | You [drive=conduire] it on the [road=route] and it has [four=quatre] [wheels=roues]
cat | chat | n | /kæt/ | The cat sleeps all day. | Le chat dort toute la journée. | A small [animal=animal] that [lives=vit] in the [house=maison] and [catches=attrape] mice
day | jour | n | /deɪ/ | It was a beautiful day. | C'était une belle journée. | The [time=temps] between [sunrise=lever du soleil] and the [night=nuit]
end | fin | n | /end/ | This is the end of the story. | C'est la fin de l'histoire. | The [last=dernier] [part=partie] of something, when [nothing=rien] [follows=suit]
family | famille | n | /ˈfæm.əl.i/ | My family is small. | Ma famille est petite. | Your [parents=parents], your [brothers=frères] and your [sisters=sœurs] [together=ensemble]
home | maison | n | /həʊm/ | I am going home. | Je rentre à la maison. | The [place=endroit] where you [live=vis] and where you [feel=te sens] [safe=en sécurité]
man | homme | n | /mæn/ | The man is tall. | L'homme est grand. | An [adult=adulte] [male=mâle] [person=personne], not a [woman=femme]
name | nom | n | /neɪm/ | What is your name? | Quel est ton nom ? | The [word=mot] [people=les gens] [use=utilisent] when they [call=appellent] you
one | un | det | /wʌn/ | I have one brother. | J'ai un frère. | The [first=premier] [number=nombre], when there is [nothing=rien] [more=de plus]
people | gens | n | /ˈpiː.pəl/ | Many people came. | Beaucoup de gens sont venus. | [More=Plus] than one [person=personne], a [group=groupe] of [human=humains] beings
school | école | n | /skuːl/ | She goes to school. | Elle va à l'école. | The [place=endroit] where [children=les enfants] go to [learn=apprendre] and [read=lire]
speak | parler | v | /spiːk/ | I speak English. | Je parle anglais. | To [use=utiliser] [words=des mots] with your [mouth=bouche] so [others=les autres] [hear=entendent] you
