# Palier 19 — L'anglais parlé (rangs 901-950)
whole | entier | adj | /həʊl/ | I read the whole book. | J'ai lu le livre entier. | [Complete=Complet], with [every=chaque] [part=partie] and [nothing=rien] [missing=manquant]
matter | importer | v | /ˈmæt.ər/ | Your opinion matters to me. | Ton opinion compte pour moi. | To be [important=important] to a [person=personne]
tonight | ce soir | adv | /təˈnaɪt/ | I will call you tonight. | Je t'appellerai ce soir. | During the [evening=soirée] or [night=nuit] of [today=aujourd'hui]
everyone | tout le monde | pron | /ˈev.ri.wʌn/ | Everyone came to the party. | Tout le monde est venu à la fête. | [Every=Chaque] [person=personne] in a [group=groupe], with [nobody=personne] [left=laissé] out
anyone | n'importe qui | pron | /ˈen.i.wʌn/ | Anyone can join the club. | N'importe qui peut rejoindre le club. | Any [person=personne] at [all=tout], whichever one it [is=est]
worry | s'inquiéter | v | /ˈwʌr.i/ | Do not worry about the test. | Ne t'inquiète pas pour le test. | To [feel=ressentir] [afraid=de l'inquiétude] about a [thing=chose] that may [happen=arriver]
kid | gamin | n | /kɪd/ | The kid runs very fast. | Le gamin court très vite. | A [child=enfant], in an [easy=familière] and [friendly=amicale] [way=manière]
stuff | trucs | n | /stʌf/ | Put your stuff in the bag. | Mets tes affaires dans le sac. | [Things=Des choses] in [general=général], when you do not [name=nommes] them
exactly | exactement | adv | /ɪɡˈzækt.li/ | That is exactly my opinion. | C'est exactement mon opinion. | In a [completely=complètement] [correct=correcte] [way=manière], with no [difference=différence]
five | cinq | det | /faɪv/ | I waited five minutes. | J'ai attendu cinq minutes. | The [number=nombre] that [comes=vient] after [four=quatre]
far | loin | adv | /fɑːr/ | The station is far. | La gare est loin. | At a [great=grande] [distance=distance] from the [place=endroit] where you [are=es]
whatever | quoi que | pron | /wɒtˈev.ər/ | Do whatever you want. | Fais ce que tu veux. | Any [thing=chose] at [all=tout], without a [limit=limite] on the [choice=choix]
somebody | quelqu'un | pron | /ˈsʌm.bɒd.i/ | Somebody left a message. | Quelqu'un a laissé un message. | A [person=personne] that you cannot [name=nommer]
four | quatre | det | /fɔːr/ | I have four questions. | J'ai quatre questions. | The [number=nombre] that [comes=vient] after [three=trois]
anyway | de toute façon | adv | /ˈen.i.weɪ/ | I was leaving anyway. | Je partais de toute façon. | [Used=Utilisé] to [say=dire] that a [fact=fait] does not [change=change] your [decision=décision]
fun | amusement | n | /fʌn/ | We had a lot of fun. | Nous nous sommes bien amusés. | The [pleasure=plaisir] you [feel=ressens] when you [play=joues] or [laugh=ris]
least | moins | adv | /liːst/ | This is the least expensive. | C'est le moins cher. | The [smallest=plus petite] [amount=quantité] of [all=tous]
nobody | personne | pron | /ˈnəʊ.bɒd.i/ | Nobody answered the phone. | Personne n'a répondu au téléphone. | Not a [single=seule] [person=personne] at [all=tout]
suppose | supposer | v | /səˈpəʊz/ | I suppose you are right. | Je suppose que tu as raison. | To [think=penser] that a [thing=chose] is [probably=probablement] [true=vraie]
truth | vérité | n | /truːθ/ | Tell me the truth. | Dis-moi la vérité. | What [agrees=correspond] with the [facts=faits], the [opposite=contraire] of a [lie=mensonge]
lady | dame | n | /ˈleɪ.di/ | An old lady sat there. | Une vieille dame était assise là. | A [woman=femme], [named=nommée] in a [polite=polie] [way=manière]
anymore | plus | adv | /ˌen.iˈmɔːr/ | He does not live here anymore. | Il n'habite plus ici. | No [longer=plus], after a [change=changement] in the [situation=situation]
couple | couple | n | /ˈkʌp.əl/ | A couple came into the shop. | Un couple est entré dans le magasin. | [Two=Deux] [people=personnes] or [things=choses] [taken=prises] [together=ensemble]
cool | frais | adj | /kuːl/ | The evening air is cool. | L'air du soir est frais. | A [little=un peu] [cold=froid], but in a [pleasant=agréable] [way=manière]
honey | miel | n | /ˈhʌn.i/ | I put honey in my tea. | Je mets du miel dans mon thé. | The [sweet=sucré] [thick=épais] [food=aliment] that an [insect=insecte] [produces=produit]
team | équipe | n | /tiːm/ | Our team won the match. | Notre équipe a gagné le match. | A [group=groupe] of [people=personnes] who [play=jouent] or [work=travaillent] [together=ensemble]
stupid | stupide | adj | /ˈstjuː.pɪd/ | That was a stupid mistake. | C'était une erreur stupide. | Showing very [little=peu] of [intelligence=intelligence] or [care=soin]
lord | seigneur | n | /lɔːd/ | The lord lived in the castle. | Le seigneur vivait au château. | A [man=homme] of a [high=haute] [position=position] who [owns=possède] [land=des terres]
six | six | det | /sɪks/ | She has six cats. | Elle a six chats. | The [number=nombre] that [comes=vient] after [five=cinq]
alive | vivant | adj | /əˈlaɪv/ | The plant is still alive. | La plante est encore vivante. | Having [life=la vie], the [opposite=contraire] of [dead=mort]
pick | choisir | v | /pɪk/ | Pick a card. | Choisis une carte. | To [take=prendre] one [thing=chose] from a [group=groupe] with your [hand=main]
ahead | devant | adv | /əˈhed/ | The car ahead stopped. | La voiture devant s'est arrêtée. | In [front=avant], further along the [way=chemin] you are [going=en train de suivre]
king | roi | n | /kɪŋ/ | The king lived a long life. | Le roi a vécu longtemps. | The [man=homme] who [leads=dirige] a [country=pays] because of his [family=famille]
sort | sorte | n | /sɔːt/ | What sort of music do you like? | Quelle sorte de musique aimes-tu ? | A [group=groupe] of [things=choses] that [share=partagent] the [same=mêmes] [qualities=qualités]
boss | patron | n | /bɒs/ | My boss is very kind. | Mon patron est très gentil. | The [person=personne] who [controls=dirige] the [work=travail] that you [do=fais]
white | blanc | adj | /waɪt/ | The walls are white. | Les murs sont blancs. | The [colour=couleur] of [milk=lait] and of [snow=neige]
anybody | n'importe qui | pron | /ˈen.i.bɒd.i/ | Anybody can learn this. | N'importe qui peut apprendre cela. | Any [person=personne] at [all=tout], with no [choice=choix] [made=fait]
scared | apeuré | adj | /skeəd/ | The child was scared. | L'enfant était apeuré. | [Feeling=Ressentant] [fear=de la peur] because of a [danger=danger]
human | humain | adj | /ˈhjuː.mən/ | It is a human problem. | C'est un problème humain. | Belonging to a [person=personne], not to an [animal=animal] or a [machine=machine]
luck | chance | n | /lʌk/ | I had good luck today. | J'ai eu de la chance aujourd'hui. | What [makes=fait] [good=de bonnes] [things=choses] [happen=arriver] without a [reason=raison]
ten | dix | det | /ten/ | I waited ten minutes. | J'ai attendu dix minutes. | The [number=nombre] that [comes=vient] after nine
daddy | papa | n | /ˈdæd.i/ | Daddy is at work. | Papa est au travail. | The [word=mot] a [young=jeune] [child=enfant] [uses=utilise] for their [father=père]
finally | enfin | adv | /ˈfaɪ.nəl.i/ | He finally arrived. | Il est enfin arrivé. | After a [long=longue] [time=attente], at the [end=fin]
hang | accrocher | v | /hæŋ/ | Hang your coat here. | Accroche ton manteau ici. | To [put=mettre] a [thing=chose] so that its [top=haut] is [held=tenu] and the [bottom=bas] is [free=libre]
master | maître | n | /ˈmɑː.stər/ | He is a master of his art. | Il est maître de son art. | A [person=personne] who [knows=connaît] a [subject=sujet] [completely=complètement]
million | million | det | /ˈmɪl.jən/ | The city has a million people. | La ville a un million d'habitants. | A [very=très] [large=grand] [number=nombre], a [thousand=mille] [times=fois] a [thousand=mille]
lucky | chanceux | adj | /ˈlʌk.i/ | You are very lucky. | Tu es très chanceux. | Having [good=de la bonne] [luck=chance] without any [effort=effort]
bet | parier | v | /bet/ | I bet he will come. | Je parie qu'il viendra. | To [say=dire] you are [certain=certain] and [risk=risquer] your [money=argent] on it
fault | faute | n | /fɒlt/ | It was not my fault. | Ce n'était pas ma faute. | The [responsibility=responsabilité] for a [mistake=erreur] that [happened=est arrivée]
mad | fou | adj | /mæd/ | That was a mad idea. | C'était une idée folle. | [Behaving=Se comportant] without [reason=raison], in a [wild=sauvage] [way=manière]
